tech_id;name
1;3d bioprinting and tissue engineering
2;3d modeling and generative 3d environments (e.g., ai-generated textures, procedural content generation)
3;3d printing
4;4d printing
5;5g
6;5g advanced (5.5g)
7;5g and 6g cellular system
8;5g from space
9;5g vehicle to everything (v2x) communication
10;acoustic ai
11;acoustic sensing with ai
12;adaptative materials modelling
13;adaptive ai
14;adaptive technology
15;additive manufacturing
16;advanced actuators and motion control
17;advanced battery management system
18;advanced connectivity
19;advanced haptic feedback devices (e.g., haptic gloves, vr treadmill)
20;advanced haptics/tactile sensing
21;advanced in space refueling
22;advanced on chip interconnect
23;advanced robotics sensor
24;advanced semiconductor manufacturing
25;advanced solar pv system
26;agent concierge system
27;ai accelerators (custom)
28;ai agent
29;ai asic
30;ai augmented metadata management
31;ai augmented robotic
32;ai based anomaly detection system
33;ai coache
34;ai copilot
35;ai driven advanced sensors and edge ai processor
36;ai driven earth observation system
37;ai driven mineral/resource exploration (e.g., kobold metals)
38;ai driven threat detection and cybersecurity tool
39;ai enabled video surveillance
40;ai enhanced text to image generation
41;ai enhanced text to video generation
42;ai for drug discovery
43;ai for material discovery
44;ai for protein design
45;ai gateway
46;ai generated avatar
47;ai generated phishing and malware technique
48;ai governance platform
49;ai health coaching
50;ai inference chip
51;ai powered chatbot
52;ai powered command & control system
53;ai powered drug discovery (e.g., protein engineering foundry)
54;ai powered fleet management/logistic
55;ai powered iot system
56;ai-powered rendering, tracking, and processing for ar/vr
57;ai powered voice assistant
58;ai ran (ai enabled radio access network)
59;ai runtime protection
60;ai search engine
61;ai toolchain operator
62;ai vision software
63;ai voice cloning
64;algae bioreactor
65;algorithmic management
66;ambient computing
67;ambient digital scribe
68;ambient invisible intelligence
69;analytical engines for data driven insight
70;application layer
71;application proxy
72;application specific integrated circuits (asics)
73;artificial general intelligence (agi)
74;artificial superintelligence (asi)
75;attosecond pulse laser
76;augmented reality (ar)
77;automated firmware verification tool
78;automated observability tool
79;automated workflow capabilities (e.g., speech to text)
80;automation for governance, risk, and compliance (grc)
81;automotive iot
82;autonomous agent
83;autonomous biochemical sensing
84;autonomous delivery robot
85;autonomous driving system
86;autonomous drone
87;autonomous ground vehicles (ugvs)
88;autonomous logistic
89;autonomous mobile robots (amrs)
90;autonomous navigation and decision making
91;autonomous robot
92;autonomous vehicle
93;backscatter communication
94;battery  and liquid cooling systems for data center
95;battery energy storage systems (including long duration and thermal storage)
96;battery recycling
97;bidirectional brain machine interfaces (bbmis)
98;bidirectional charging system
99;bio computation platform
100;bio engineered material
101;bio inspired processing
102;bio inspired robotic
103;bioengineered light emitting plant
104;bioengineered neurointerface
105;biofuel
106;biogas and biomass
107;biollm
108;biological interface
109;biomanufacturing
110;biomaterials (eco-friendly, e.g., collagen scaffolds)
111;biometric authentication
112;biometric monitoring
113;biomimetic cyberdefense
114;biophotonic
115;bioprinting
116;blockchain
117;blockchain and distributed ledger
118;brain computer interface
119;brainвЂ“computer interfaces (bci)
120;brine crystallisation
121;business process automation (bpa)
122;calcium based batterie
123;carbon capture and storage (ccs)
124;cattle burping remedie
125;cell cultivation system
126;central bank digital currencies  (cbdcs)
127;chain of thought prompting
128;chain of thought reasoning
129;chaos engineering
130;chatbot
131;circular economy manufacturing
132;circulating biomarker
133;cleaner jet fuel
134;cloud access control platform
135;cloud and edge computing
136;cloud based security system
137;cloud computing
138;cloud storage (object/block storage)
139;cloud video
140;co packaged optic
141;coding automation tool
142;cognitive robotics system
143;collaborative robot
144;collaborative sensing
145;computer vision
146;concentrated solar power
147;confidential computing
148;construction robotic
149;containers and kubernete
150;content credentials (c2pa standard)
151;continuous learning
152;crop intelligence
153;crypto wallet
154;cryptocurrency
155;custom silicon
156;cybersecurity mesh framework (csmf)
157;data center
158;data centric ai
159;data fabric
160;data infrastructure and management system
161;data integration
162;data lakehouse platform
163;data mesh
164;data mining
165;decentralized applications (dapps)
166;decentralized exchanges (dexs)
167;decentralized finance (defi)
168;decentralized identity system
169;decentralized intelligent system
170;deep learning model
171;deep reinforcement learning
172;devops metrics (dora)
173;die to die optical interconnect
174;digital asset
175;digital avatars (e.g., apple persona)
176;digital coworker
177;digital identity (including self-sovereign identity, passwordless, converged identity)
178;digital immune system
179;digital infrastructure (sql/nosql databases, compute/storage networks)
180;digital therapeutic
181;digital twin
182;digital twin ecosystem
183;digital wallet
184;direct to chip liquid cooling
185;direct to device satellite communication
186;direct to device satellite connectivity
187;distributed computing
188;distributed edge intelligence network
189;distributed gain laser architecture
