cluster_id;label;cluster_short_description;top_terms
18;Advanced Functional Materials and Modeling;This cluster focuses on engineered materials, including smart materials, metamaterials, and biomaterials, designed to exhibit unique properties for energy optimization, environmental responsiveness, and other applications. It involves computational modeling and optimization techniques to enhance material performance and efficiency.;materials, energy, nm, exhibit, ranges, substances, modelling, constitute, 300, optimization
22;IoT and Advanced Wireless Connectivity Systems;This cluster focuses on technologies enabling interconnected devices and systems through high-performance wireless networks, including IoT, 5G/6G, and interoperability solutions, to facilitate seamless data communication and connectivity in applications like automotive IoT and distributed networks.;communication, data, iot, 10, networks, 5g, wireless, connectivity, systems, network
26;Additive Manufacturing and 3D Printing Technologies;This cluster encompasses technologies that create physical objects through layer-by-layer material deposition, including 3D printing, bioprinting, and 4D printing, enabling the fabrication of complex structures from digital models, with applications ranging from manufacturing to biomedical engineering.;layer, material, deposition, mm, μm, printing, additive, manufacturing, 3d, objects
14;Satellite and Orbital Systems for Earth Services;This cluster encompasses technologies related to satellites and orbital systems that provide critical services for Earth, including communication, data transmission, and observation. It involves various satellite types like low Earth orbit and geostationary satellites, forming an integrated infrastructure for global connectivity and monitoring through space-based assets.;km, satellite, space, earth, orbital, satellites, orbit, systems, global, geostationary
10;AI-Powered Voice and Speech Technologies;This cluster encompasses technologies that leverage artificial intelligence to process, generate, and interact through human speech and voice. It includes AI-powered voice assistants, chatbots, and speech robots that enable personalized, conversational interactions, as well as advanced features like voice cloning using deep learning for realistic audio synthesis.;speech, voice, khz, user, language, personalized, audio, ai, learning, based
25;AI-Powered Visual Content Generation and Analysis;This cluster encompasses technologies focused on creating, interpreting, and enhancing visual media using artificial intelligence. It includes AI vision systems for analyzing images and videos, text-to-image generation for producing visuals from descriptions, AR/VR processing for immersive experiences, and the creation of AI-generated avatars. Key aspects involve handling resolutions, pixels, and representations to automate and improve visual content in various applications.;image, video, resolutions, 512, pixels, representations, ai, content, visual, avatars
34;Autonomous AI Agents and Systems;This cluster encompasses technologies related to autonomous artificial intelligence agents and systems that perceive environments, make decisions, and act independently to achieve goals. It includes AI agents for various applications, such as personal assistance and cybersecurity, as well as concepts like artificial general intelligence, highlighting capabilities in learning, intelligence, and autonomous operation.;ai, learning, intelligence, systems, 10, artificial, agent, response, capabilities, autonomous
1;Sensing and Monitoring Technologies for Physiological and T…;This cluster encompasses technologies focused on sensing, measuring, and monitoring physiological and tactile parameters through devices like wearable sensors, haptic systems, and biometric monitors. It includes systems for force measurement, feedback, and tracking, enabling applications in health monitoring, human-machine interaction, and authentication without physical contact.;feedback, devices, measurement, force, sensors, systems, physiological, tracking, monitoring, sensing
2;Autonomous and AI-Enhanced Robotic Systems;This cluster encompasses technologies focused on robots and systems that operate autonomously or with AI augmentation, enabling independent decision-making, mobility, and adaptive behavior in various environments. It includes autonomous robots, AI-augmented robotics, cognitive systems, and mobile robots, all designed to perform tasks with minimal human intervention through integrated sensing, computation, and actuation.;robots, systems, autonomous, robotic, human, operate, decision, robotics, making, environmental
28;Advanced Electrochemical Energy Storage Technologies;This cluster encompasses innovative electrochemical energy storage systems, including various battery types like solid-state, calcium-based, and silicon anode batteries, as well as supercapacitors. These technologies focus on enhancing energy density, cycle life, and grid integration for applications in electric power, energy storage, and sustainable energy management.;energy, battery, storage, batteries, electric, electrochemical, grid, power, cycle, lithium
